model,probe,layer,n_components,dim_reduction,circular_encoding,fold,pred_error_km,r2_lat,r2_sin_lon,r2_cos_lon,r2_lon
terramind_v1_base,xgboost,8,768,none,True,0,2005.921635664558,0.9007798708849092,0.7536362760859915,0.7580799954710533,
terramind_v1_base,xgboost,8,768,none,True,1,2020.66985579318,0.9012678391854266,0.7560126850194737,0.7538724632691121,
terramind_v1_base,xgboost,8,768,none,True,2,2050.6163815810737,0.8989346551468352,0.7524107986495362,0.7503066450688437,
terramind_v1_base,xgboost,8,768,none,True,3,2030.778681773052,0.895286243983371,0.7524660134686956,0.7559695650900281,
terramind_v1_base,xgboost,8,768,none,True,4,2018.664375159254,0.9007137260907758,0.7537040691708407,0.7612191167960196,
terramind_v1_tiny,xgboost,7,192,none,True,0,3449.8568833338054,0.7207266145879011,0.5332696777970417,0.5417546421088875,
terramind_v1_tiny,xgboost,7,192,none,True,1,3450.0919002201736,0.7244110790505665,0.5347646112079809,0.5430675824081351,
terramind_v1_tiny,xgboost,7,192,none,True,2,3485.647618466244,0.7137342907682002,0.5298814808338801,0.5373016720172212,
terramind_v1_tiny,xgboost,7,192,none,True,3,3439.980781922002,0.7157614429634538,0.534312050390704,0.5445068938711788,
terramind_v1_tiny,xgboost,7,192,none,True,4,3405.959808190892,0.7284487207010213,0.5394989388624462,0.5456904528356474,
terramind_v1_large,xgboost,3,1024,none,True,0,2975.2847940554893,0.7601699443131419,0.6160497289577573,0.6229510823050464,
terramind_v1_large,xgboost,3,1024,none,True,1,2924.244201536824,0.7600905193544334,0.6284826502390556,0.6272802141064544,
terramind_v1_large,xgboost,3,1024,none,True,2,2967.2195220987664,0.7557778473105652,0.6212135539976572,0.6197897219055597,
terramind_v1_large,xgboost,3,1024,none,True,3,2952.957968456875,0.7521029739285102,0.6165472117318778,0.6311109575884273,
terramind_v1_large,xgboost,3,1024,none,True,4,2943.7493224662844,0.7630151544658635,0.6185226464685072,0.628973176547615,
terramind_v1_tiny,mlp,1,192,none,True,0,3223.635786996946,0.7243747082401923,0.5904101951876689,0.5562179964389125,
terramind_v1_tiny,mlp,1,192,none,True,1,3293.60063620286,0.7239163764783313,0.5949913459085268,0.5159962510641817,
terramind_v1_tiny,mlp,1,192,none,True,2,3257.81182923853,0.7147752926190731,0.586930918689104,0.5413397742661992,
terramind_v1_tiny,mlp,1,192,none,True,3,3284.34075988093,0.7250130671230803,0.5796749142960427,0.5403490588115489,
terramind_v1_tiny,mlp,1,192,none,True,4,3225.0792590813244,0.7241024699127444,0.5938966872622637,0.551162538940188,
terramind_v1_base,mlp,11,768,none,False,0,1395.8795767151887,0.9846931140014558,,,0.9396912572556022
terramind_v1_base,mlp,11,768,none,False,1,1397.3416113849626,0.9851595148901724,,,0.9403290498192703
terramind_v1_base,mlp,11,768,none,False,2,1406.139939693827,0.9836638709019586,,,0.9378125866034008
terramind_v1_base,mlp,11,768,none,False,3,1379.7082942041457,0.9843017572387616,,,0.9396527957598002
terramind_v1_base,mlp,11,768,none,False,4,1379.2682260907332,0.9850373054960472,,,0.9412154496796457
terramind_v1_large,mlp,20,1024,none,True,0,610.248103847698,0.9884596123138168,0.960478757157633,0.9517942466729976,
terramind_v1_large,mlp,20,1024,none,True,1,610.6175683179509,0.9898417893254076,0.9615288004855328,0.9525586079587616,
terramind_v1_large,mlp,20,1024,none,True,2,612.6889080753855,0.9892761297032148,0.9587954422852744,0.9542108476872936,
terramind_v1_large,mlp,20,1024,none,True,3,639.2383858745466,0.9859684791428472,0.9577719641945304,0.9518008106957996,
terramind_v1_large,mlp,20,1024,none,True,4,603.0076253727924,0.988819578096387,0.9604245354377818,0.9564404540219597,
terramind_v1_base,ridge,11,192,random,True,0,3426.9420728456657,0.8114465217054385,0.5381732063210088,0.5185270628935281,
terramind_v1_base,ridge,11,192,random,True,1,3429.2532551850936,0.8072834634873445,0.5390041057090849,0.5140748917495657,
terramind_v1_base,ridge,11,192,random,True,2,3379.3152783853884,0.8105476304717677,0.5463646993654221,0.5184840671704154,
terramind_v1_base,ridge,11,192,random,True,3,3387.312890511769,0.8061664027298516,0.535299183630976,0.5315841364952587,
terramind_v1_base,ridge,11,192,random,True,4,3372.2587006738936,0.8090708929517534,0.5479805175574197,0.5298880186180062,
terramind_v1_base,mlp,2,768,none,True,0,2032.2543549325967,0.8671217772859726,0.7612597064260418,0.741859334476314,
terramind_v1_base,mlp,2,768,none,True,1,2083.4678828396927,0.8823790387529654,0.7471230341460696,0.7318737479838018,
terramind_v1_base,mlp,2,768,none,True,2,2229.099252247584,0.8716500173292712,0.7258246658752713,0.6786671580102461,
terramind_v1_base,mlp,2,768,none,True,3,2005.727059126151,0.886340127970342,0.7662263239513369,0.7288771141183705,
terramind_v1_base,mlp,2,768,none,True,4,1989.2131399913344,0.8883662592578715,0.7579164597181438,0.7450477062140557,
terramind_v1_tiny,ridge,3,192,none,True,0,5222.844944832667,0.4737625275074921,0.2702697218943778,0.259196844204474,
terramind_v1_tiny,ridge,3,192,none,True,1,5215.972540684269,0.4716082730043064,0.2658975630792635,0.2608394989334716,
terramind_v1_tiny,ridge,3,192,none,True,2,5259.06558189433,0.4681557510615824,0.2678406652752163,0.2557267101567284,
terramind_v1_tiny,ridge,3,192,none,True,3,5231.368676982524,0.4577666728630607,0.2667063305609454,0.2728379099714495,
terramind_v1_tiny,ridge,3,192,none,True,4,5217.069408627064,0.4681784321125084,0.2728242480193931,0.2661029538402391,
